text,text_id,targets,spans,target_sentiments,categories,category_sentiments
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",1032695:1,"['service', 'decor']","[[47, 54], [73, 78]]",,,
I had the duck breast special on my last visit and it was incredible.,1032695:2,['duck breast special'],"[[10, 29]]",,,
Can't wait wait for my next visit.,1032695:3,[],[],,,
"I had my eyes on this place, promising myself I will one day 'give it a try.' ",1041457:0,,,,,
And I hate to say this but I doubt I'll ever go back. ,1041457:1,[],[],,,
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",1041457:2,"['food', 'Thai fusion stuff']","[[4, 8], [31, 48]]",,,
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,1041457:3,['Grilled Chicken special with Edamame Puree'],"[[46, 88]]",,,
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,1041457:4,['Edamame pureed'],"[[16, 30]]",,,
"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",1041457:5,,,,,
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",1041457:6,"['decor', 'vent', 'place']","[[4, 9], [60, 64], [142, 147]]",,,
We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,1053543:0,,,,,
What's the difference between the two?,1053543:1,,,,,
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",1053543:2,['sake list'],"[[6, 15]]",,,
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",1053543:3,"['spicy tuna roll', 'rock shrimp tempura']","[[4, 19], [47, 66]]",,,
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,1053543:4,['service'],"[[74, 81]]",,,
we love th pink pony.,1055910:0,['pink pony'],"[[11, 20]]",,,
THe perfect spot.,1055910:1,['spot'],"[[12, 16]]",,,
Food-awesome.,1055910:2,['Food'],"[[0, 4]]",,,
Service- friendly and attentive.,1055910:3,['Service'],"[[0, 7]]",,,
Ambiance- relaxed and stylish.,1055910:4,['Ambiance'],"[[0, 8]]",,,
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",1055910:5,['place'],"[[17, 22]]",,,
"i have eaten here a handful of times, for no reason besides sheer convenience.",1058221:0,,,,,
"(i hang out, and live, in the neighborhood..) ",1058221:1,,,,,
the food is decent.,1058221:2,['food'],"[[4, 8]]",,,
"however, it's the service that leaves a bad taste in my mouth.",1058221:3,['service'],"[[18, 25]]",,,
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",1058221:4,['waiter'],"[[106, 112]]",,,
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",1058221:5,[],[],,,
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",1058221:6,[],[],,,
the last time i walked by it looked pretty empty. hmmm.,1058221:7,[],[],,,
This place has got to be the best japanese restaurant in the new york area.,1062641:0,['place'],"[[5, 10]]",,,
I had a great experience.,1062641:1,[],[],,,
Food is great.,1062641:2,['Food'],"[[0, 4]]",,,
Service is top notch.,1062641:3,['Service'],"[[0, 7]]",,,
I have been going back again and again.,1062641:4,[],[],,,
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",1064477:0,['sea urchin'],"[[42, 52]]",,,
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",1064477:1,[],[],,,
The sushi seemed pretty fresh and was adequately proportioned.,1064477:2,['sushi'],"[[4, 9]]",,,
The rice to fish ration was also good--they didn't try to overpack the rice.,1064477:3,['rice to fish ration'],"[[4, 23]]",,,
We took advanatage of the half price sushi deal on saturday so it was well worth it.,1064477:4,['half price sushi deal'],"[[26, 47]]",,,
I went to this restaurant with a woman that I met recently.,1074868:0,,,,,
She lives nearby but had never gone to this establishment thinking that it might be too touristy.,1074868:1,,,,,
Surprisingly nothing could be further from the truth.,1074868:2,[],[],,,
"In the evening, this place attracted a well dressed, with it, NY crowd.",1074868:3,['crowd'],"[[65, 70]]",,,
The food was well prepared and the service impecable.,1074868:4,"['food', 'service']","[[4, 8], [35, 42]]",,,
I'm going back.,1074868:5,[],[],,,
"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",1084394:0,,,,,
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,1084394:1,[],[],,,
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",1084394:2,,,,,
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,1084394:3,['Prix Fixe menu'],"[[4, 18]]",,,
I will be going back and heartily recommend it!,1084394:4,[],[],,,
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",1086415:0,,,,,
"It is terrific, as is the value.",1086415:1,[],[],,,
"$6 and there is much tasty food, all of it fresh and continually refilled.",1086415:2,['food'],"[[27, 31]]",,,
"I am not a vegetarian but, almost all the dishes were great.",1086415:3,['dishes'],"[[42, 48]]",,,
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",1086415:4,,,,,
Go hungry and enjoy.,1086415:5,[],[],,,
"The food here is rather good, but only if you like to wait for it.",1086478:0,['food'],"[[4, 8]]",,,
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",1086478:1,"['somosas', 'chai', 'chole', 'dhosas', 'dhal']","[[11, 18], [20, 24], [34, 39], [49, 55], [60, 64]]",,,
"The service varys from day to day- sometimes they're very nice, and sometimes not.",1086478:2,['service'],"[[4, 11]]",,,
"The kitchen however, is almost always slow.",1086478:3,['kitchen'],"[[4, 11]]",,,
"Also, specify if you like your food spicy- its rather bland if you don't.",1086478:4,['food'],"[[31, 35]]",,,
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",1086478:5,['ambience'],"[[4, 12]]",,,
Just went here for my girlfriends 23rd bday.,1090587:0,,,,,
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,1090587:1,['view'],"[[80, 84]]",,,
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,1090587:2,"['service', 'food']","[[18, 25], [36, 40]]",,,
The lava cake dessert was incredible and I recommend it.,1090587:3,['lava cake dessert'],"[[4, 21]]",,,
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",1102681:0,['Cosette'],"[[19, 26]]",,,
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",1102681:1,['restaurant'],"[[10, 20]]",,,
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",1102681:2,"['food', 'French Onion soup', 'desserts']","[[4, 8], [43, 60], [104, 112]]",,,
"However, go for the ambience, and consider the food just a companion for a trip across the world!",1102681:3,"['ambience', 'food']","[[20, 28], [47, 51]]",,,
"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",1118167:0,,,,,
IT WAS HORRIBLE.,1118167:1,[],[],,,
The pizza was delivered cold and the cheese wasn't even fully melted!,1118167:2,"['pizza', 'cheese']","[[4, 9], [37, 43]]",,,
It looked like shredded cheese partly done - still in strips.,1118167:3,[],[],,,
I have eaten at many pizza places around NYC and this is hands down the worst.,1118167:4,,,,,
This has got to be one of the most overrated restaurants in Brooklyn.,1119578:0,[],[],,,
The pizza is overpriced and soggy.,1119578:1,['pizza'],"[[4, 9]]",,,
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",1119578:2,"['ingredients', 'pizza', 'crust']","[[20, 31], [80, 85], [122, 127]]",,,
"A big disappointment, all around.",1119578:3,[],[],,,
I think I've had some the best meals of my life at minnow.,1123262:0,['meals'],"[[31, 36]]",,,
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",1123262:1,"['seafood', 'wine list', 'menu']","[[4, 11], [39, 48], [72, 76]]",,,
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,1123262:2,['ingredients'],"[[31, 42]]",,,
Worth the trip from Manhattan.,1123262:3,[],[],,,
Was there Friday night.,1125006:0,,,,,
Best Pastrami I ever had and great portion without being ridiculous.,1125006:1,"['Pastrami', 'portion']","[[5, 13], [35, 42]]",,,
And I've been to many NYC delis.,1125006:2,,,,,
My wife had the fried shrimp which are huge and loved it.,1125006:3,['fried shrimp'],"[[16, 28]]",,,
Price no more than a Jersey deli but way better.,1125006:4,,,,,
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",1125284:0,['place'],"[[105, 110]]",,,
This place is the most Japanese it can ever get.,1125284:1,['place'],"[[5, 10]]",,,
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",1125284:2,"['signs', 'specials menus', 'food', 'waitstaff']","[[4, 9], [15, 29], [31, 35], [54, 63]]",,,
This place is worth an one-hour drive.,1125284:3,['place'],"[[5, 10]]",,,
"I am so coming back here again, as much as I can.",1125284:4,[],[],,,
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",1126814:0,"['Leon', 'French bistro fare', 'specials', 'atmosphere']","[[0, 4], [70, 88], [95, 103], [123, 133]]",,,
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",1126814:1,['staff'],"[[89, 94]]",,,
Sit outside in the warm weather; inside for cozy winter.,1126814:2,,,,,
Decent wine at reasonable prices.,1126814:3,['wine'],"[[7, 11]]",,,
Have been dozens of times and never failed to enjoy the experience.,1126814:4,[],[],,,
"Our teenage kids love it, too.",1126814:5,[],[],,,
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",1126886:0,['Zucchero Pomodori'],"[[89, 106]]",,,
This is by far my favorite place in the neighborhood.,1126886:1,['place'],"[[27, 32]]",,,
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",1126886:2,"['service', 'decor', 'food', 'portions']","[[4, 11], [30, 35], [54, 58], [91, 99]]",,,
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",1126886:3,,,,,
I'm partial to the Gnocchi.,1126886:4,['Gnocchi'],"[[19, 26]]",,,
This place is incredibly tiny.,1131595:0,['place'],"[[5, 10]]",,,
They refuse to seat parties of 3 or more on weekends.,1131595:1,[],[],,,
The hostess is rude to the point of being offensive.,1131595:2,['hostess'],"[[4, 11]]",,,
The food was bland oily.,1131595:3,['food'],"[[4, 8]]",,,
I just don't understand all the hype...,1131595:4,[],[],,,
We went to Ino for Valentines.,1138996:0,,,,,
"We have been to this place many times, and always have great food, wine, and service.",1138996:1,"['food', 'wine', 'service']","[[61, 65], [67, 71], [77, 84]]",,,
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",1138996:2,['wait'],"[[86, 90]]",,,
As always we had a great glass of wine while we waited.,1138996:3,['glass of wine'],"[[25, 38]]",,,
"When we sat, we got great and fast service.",1138996:4,['service'],"[[35, 42]]",,,
The people that work there are always so friendly you forget you are in New York sometimes.,1138996:5,['people'],"[[4, 10]]",,,
Make sure you try this place as often as you can.,1138996:6,['place'],"[[23, 28]]",,,
This is a fun restaurant to go to.,1145510:0,['restaurant'],"[[14, 24]]",,,
The pizza is yummy and I like the atmoshpere.,1145510:1,"['pizza', 'atmoshpere']","[[4, 9], [34, 44]]",,,
But the pizza is way to expensive.,1145510:2,['pizza'],"[[8, 13]]",,,
"A large is $20, and toppings are about $3 each.",1145510:3,['toppings'],"[[20, 28]]",,,
I went there for lunch and it was not as good as I expected from the reviews I read.,1147082:0,['lunch'],"[[17, 22]]",,,
Sauce was watery and the food didn't have much flavor.,1147082:1,"['Sauce', 'food']","[[0, 5], [25, 29]]",,,
"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",1147082:2,,,,,
I don't think I would go again.,1147082:3,[],[],,,
This place is great.,1147211:0,['place'],"[[5, 10]]",,,
I had a huge group for my birthday and we were well taken care of.,1147211:1,[],[],,,
The waitress was very patient with us and the food is phenomenal!,1147211:2,"['waitress', 'food']","[[4, 12], [46, 50]]",,,
"Service was prompt, friendly and great.",1147211:3,['Service'],"[[0, 7]]",,,
Slightly on the pricey side but worth it!,1147211:4,[],[],,,
Great pizza and fantastic service.,1153034:0,"['pizza', 'service']","[[6, 11], [26, 33]]",,,
"There was a small wait, but shorter than I expected.",1153034:1,['wait'],"[[18, 22]]",,,
Located at the end of a magnificent block.,1153034:2,['block'],"[[36, 41]]",,,
Very cozy and warm inside.....,1153034:3,[],[],,,
I will be back!,1153034:4,[],[],,,
This is the best sushi in new york city - hands down.,1154550:0,['sushi'],"[[17, 22]]",,,
The place is small and cramped but the food is fantastic.,1154550:1,"['place', 'food']","[[4, 9], [39, 43]]",,,
Get the tuna of gari.,1154550:2,['tuna of gari'],"[[8, 20]]",,,
The one on the east side is much better than the one on the west side.,1154550:3,,,,,
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",1162037:0,"['Planet Thailand', 'sushi', 'thai food']","[[0, 15], [75, 80], [103, 112]]",,,
"With the great variety on the menu , I eat here often and never get bored .",1162037:1,['menu'],"[[30, 34]]",,,
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",1162037:2,['atmosphere'],"[[4, 14]]",,,
It's all about the food !!,1162037:3,['food'],"[[19, 23]]",,,
I went there with my friend last saturday.,1167434:0,,,,,
first it took us a long time to find the place.,1167434:1,['place'],"[[41, 46]]",,,
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",1167434:2,,,,,
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",1167434:3,['menu'],"[[26, 30]]",,,
then we ordered a dinosaur rolls and white tuna sashimi.,1167434:4,,,,,
"those rolls were big, but not good and sashimi wasn't fresh.",1167434:5,"['rolls', 'sashimi']","[[6, 11], [39, 46]]",,,
"they were dry and disgusting, i didn't even finish my first piece.",1167434:6,[],[],,,
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,1175958:0,[],[],,,
"Try the crunchy tuna, it is to die for.",1175958:1,['crunchy tuna'],"[[8, 20]]",,,
"Try everything for that matter, it is all good.",1175958:2,[],[],,,
I have been going there since it opened and I can't get enough.,1175958:3,[],[],,,
First went here to enjoy their garden terrace.,1189674:0,['garden terrace'],"[[31, 45]]",,,
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",1189674:1,"['food', 'service']","[[4, 8], [30, 37]]",,,
"The Steak Tartare is a great bet, they fix it for you at the table.",1189674:2,['Steak Tartare'],"[[4, 17]]",,,
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",1189674:3,"['restaurant', 'open kitchen']","[[34, 44], [71, 83]]",,,
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",1189674:4,"['wine selection', 'Gigondas', 'house champagne']","[[6, 20], [22, 30], [59, 74]]",,,
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",1189674:5,"['vibe', 'French food']","[[44, 48], [76, 87]]",,,
"Have recommended the place to friends, always gets good response.",1189674:6,['place'],"[[21, 26]]",,,
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",1199292:0,"['pizza', 'crust']","[[17, 22], [77, 82]]",,,
Veal Parmigana - Better than Patsy's!,1199292:1,,,,,
Much more reasonably priced too!,1199292:2,,,,,
I take all my NYC guests to VT's.,1199292:3,"[""VT's""]","[[28, 32]]",,,
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",1199480:0,"['neighborhood', 'food']","[[74, 86], [101, 105]]",,,
I've been there three times and have always had wonderful experiences.,1199480:1,[],[],,,
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,1199480:2,"['setting', 'service']","[[75, 82], [92, 99]]",,,
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,1205520:0,['Mizu'],"[[134, 138]]",,,
Even after they overcharged me the last time I was there.,1205520:1,[],[],,,
Make sure you have the Spicy Scallop roll.. .,1205520:2,['Spicy Scallop roll'],"[[23, 41]]",,,
it's delicious!,1205520:3,[],[],,,
"Moules were excellent, lobster ravioli was VERY salty!",1212346:0,"['Moules', 'lobster ravioli']","[[0, 6], [23, 38]]",,,
"Took my mom for Mother's Day, and the maitre d' was pretty rude.",1212346:1,"[""maitre d'""]","[[38, 47]]",,,
"Told us to sit anywhere, and when we sat he said the table was reserved.",1212346:2,[],[],,,
Stepped on my foot on the SECOND time he reached over me to adjust lighting.,1212346:3,[],[],,,
Tiny dessert was $8.00...just plain overpriced for what it is.,1212346:4,['dessert'],"[[5, 12]]",,,
The drinks are always welll made and wine selection is fairly priced.,1221938:0,"['drinks', 'wine selection']","[[4, 10], [37, 51]]",,,
Try their chef's specials-- they are to die for.,1221938:1,"[""chef's specials""]","[[10, 25]]",,,
"Service is not exactly five star, but thats not really a big deal.",1221938:2,['Service'],"[[0, 7]]",,,
Downstairs lounge is always a good attraction,1221938:3,['Downstairs lounge'],"[[0, 17]]",,,
"Raga's is a romantic, cozy restaurant.",1225162:0,"[""Raga's""]","[[0, 6]]",,,
The exotic food is beautifully presented and is a delight in delicious combinations.,1225162:1,['exotic food'],"[[4, 15]]",,,
It is also extremely well priced.,1225162:2,[],[],,,
The staff is incredibly helpful and attentive.,1225162:3,['staff'],"[[4, 9]]",,,
The bar is very well stocked with interesting beers and well priced wines.,1225162:4,"['bar', 'beers', 'wines']","[[4, 7], [46, 51], [68, 73]]",,,
This is one of my favorite restaurants and it is not to be missed.,1225162:5,[],[],,,
Your friends will thank you for introducing them to this gem!,1225162:6,[],[],,,
"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",1227999:0,['Leon'],"[[20, 24]]",,,
"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",1227999:1,['waitress'],"[[4, 12]]",,,
"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",1227999:2,[],[],,,
Such a disappointment...,1227999:3,[],[],,,
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",1227999:4,"['service', 'food']","[[5, 12], [23, 27]]",,,
I had a grat time at Jekyll and Hyde!,1230993:0,['Jekyll and Hyde'],"[[21, 36]]",,,
I loved everythig about it-especially the shows and actors.,1230993:1,"['shows', 'actors']","[[42, 47], [52, 58]]",,,
Our server was very helpful and friendly.,1230993:2,['server'],"[[4, 10]]",,,
I am bringing my whole family back next time.,1230993:3,[],[],,,
The food was good too.,1230993:4,['food'],"[[4, 8]]",,,
The tuna and wasabe potatoes are excellent.,1232468:0,"['tuna', 'wasabe potatoes']","[[4, 8], [13, 28]]",,,
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,1232468:1,['outdoor atmosphere'],"[[4, 22]]",,,
"Inside is a little cramped, but to be expected.",1232468:2,[],[],,,
Service was prompt and courteous.,1232468:3,['Service'],"[[0, 7]]",,,
This was a repeat visit and we'll definitely be back again.,1232468:4,[],[],,,
"Great service, great food.",1241906:0,"['service', 'food']","[[6, 13], [21, 25]]",,,
Prices are in line.,1241906:1,[],[],,,
"Compared to other shabu restaurants around town, this places wins hands-down.",1241906:2,,,,,
But too far east!,1241906:3,[],[],,,
I live a block away and go to Patsy's frequently.,1253117:0,,,,,
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",1253117:1,"['pizza', 'fresh mozzarella']","[[4, 9], [34, 50]]",,,
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",1253117:2,['appetizer selection'],"[[22, 41]]",,,
"Also, because it is so thin, it gets cold very quickly and its not that filling.",1253117:3,[],[],,,
So eat fast and order a lot.,1253117:4,,,,,
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,1253117:5,"['Wait staff', 'pie']","[[0, 10], [74, 77]]",,,
By far the best salad I have had in a fast food restaurant.,1256373:0,['salad'],"[[16, 21]]",,,
fine dining restaurant quality.,1256373:1,['dining'],"[[5, 11]]",,,
Over 100 different choices to create your own.,1256373:2,[],[],,,
A must try!,1256373:3,[],[],,,
"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",1264954:0,['restaurant'],"[[73, 83]]",,,
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",1264954:1,[],[],,,
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",1264954:2,"['chicken pot pie', 'cheeseburger', 'service']","[[4, 19], [39, 51], [81, 88]]",,,
"With so many poor experiences to be had in the theater district, is truly an excellent find!",1264954:3,[],[],,,
We will return many times for this oasis in mid-town.,1264954:4,[],[],,,
I grew up on these bagels.,1269216:0,,,,,
The staff is no nonsense.,1269216:1,['staff'],"[[4, 9]]",,,
The food options rule.,1269216:2,['food'],"[[4, 8]]",,,
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,1269216:3,['bagels'],"[[56, 62]]",,,
Worth visiting the 1st Ave spot because it is the original store.,1269216:4,['1st Ave spot'],"[[19, 31]]",,,
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. ,1275154:0,,,,,
"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",1275154:1,,,,,
I asked the chef what he recommends and he asked me if I like Uni. (,1275154:2,,,,,
"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.) ",1275154:3,,,,,
"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",1275154:4,['Uni Hand roll'],"[[16, 29]]",,,
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",1275154:5,,,,,
The sake menu should not be overlooked!,1275154:6,['sake menu'],"[[4, 13]]",,,
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",1275154:7,[],[],,,
Try the lobster teriyaki and the rose special roll.,1275154:8,"['lobster teriyaki', 'rose special roll']","[[8, 24], [33, 50]]",,,
We visited Orsay during NY Restaurant Week and tried their $35 menu.,1280166:0,,,,,
"Service was very good - prompt, attentive and non-intrusive.",1280166:1,['Service'],"[[0, 7]]",,,
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",1280166:2,"['Food', 'pork belly']","[[0, 4], [94, 104]]",,,
Wine list selection is good and wine-by-the-glass was generously filled to the top.,1280166:3,"['Wine list selection', 'wine-by-the-glass']","[[0, 19], [32, 49]]",,,
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,1280166:4,"['Traditional French decour', 'hall']","[[0, 25], [50, 54]]",,,
"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",1280179:0,['Cafe Spice'],"[[16, 26]]",,,
"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",1280179:1,['Service'],"[[14, 21]]",,,
"Seating is always prompt, though the restaurant does fill up in the evening.",1280179:2,['Seating'],"[[0, 7]]",,,
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",1280179:3,"['Food', 'raw vegatables in side orders']","[[0, 4], [76, 105]]",,,
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1280179:4,[],[],,,
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",1280179:5,"['decor', 'semi-private boths']","[[4, 9], [51, 69]]",,,
I have NEVER been disappointed in the Red Eye.,1286916:0,['Red Eye'],"[[38, 45]]",,,
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",1286916:1,"['live jazz band', 'atmosphere']","[[55, 69], [74, 84]]",,,
I've never ordered anything else from their menu...there's no need to.,1286916:2,,,,,
It's simply the best meal in NYC.,1286916:3,['meal'],"[[21, 25]]",,,
You cannot go wrong at the Red Eye Grill.,1286916:4,['Red Eye Grill'],"[[27, 40]]",,,
"If we were to move from the upper east side, we would genuinely miss this restaurant.",1287538:0,['restaurant'],"[[74, 84]]",,,
We've lived in the area for more than 8 years.,1287538:1,,,,,
The restaurant is cute but not upscale.,1287538:2,['restaurant'],"[[4, 14]]",,,
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,1287538:3,"['food', 'balance of herbs and tomatoes']","[[4, 8], [86, 115]]",,,
I would highly recommend it.,1287538:4,[],[],,,
It's one of our favorite places to eat in NY.,1287538:5,[],[],,,
We had a great time at the Jekyll and hyde Pub last night.,1289424:0,['Jekyll and hyde Pub'],"[[27, 46]]",,,
We were walking around the village and went into this place just for some drinks.,1289424:1,,,,,
After really enjoying ourselves at the bar we sat down at a table and had dinner.,1289424:2,['bar'],"[[39, 42]]",,,
The server was really cool and served us our food and drinks with a smile.,1289424:3,['server'],"[[4, 10]]",,,
The place's decor and hidden bathrooms made for a good laugh.,1289424:4,"['decor', 'hidden bathrooms']","[[12, 17], [22, 38]]",,,
I highly recommend visiting this restaurant and having dinner and drinks!,1289424:5,['restaurant'],"[[33, 43]]",,,
"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",1293334:0,['place'],"[[86, 91]]",,,
